,,,,,,,,,,,,
Term,Class Stat,Subject,Catalog#,Section,Class Title,Enrl Cap,Tot Enrl,Days,Mtg Start,Mtg End,Room,Name
1232,Active,ESL,  54,1100,English as a Second Language,22,20,MW,11:00AM,01:45PM,MC-N781,"Johnson,Katherine M"
1232,Active,ESL,  54,1100,English as a Second Language,22,20,Th,11:00AM,01:45PM,MC-N780,
1232,Cancelled,ESL,  94,1002,English as a Second Language,25,0,,,,,
1232,Cancelled,ESL,  94,1200,English as a Second Language,25,0,,,,,
1232,Cancelled,ESL,  94,B500,English as a Second Language,20,0,,,,,
1232,Active,ESL,  94RW,0800,Eng as 2nd Lang Read/Write,25,17,MTuWTh,08:00AM,09:40AM,OL-03,"Rajkumar,Tajpertab"
1232,Active,ESL,  94RW,0800,Eng as 2nd Lang Read/Write,25,17,MTuWTh,08:00AM,09:40AM,OL-03,"Roe,Vanessa HW"
1232,Active,ESL,  94RW,0800,Eng as 2nd Lang Read/Write,25,17,,,,OL-02,
1232,Active,ESL,  94RW,0801,Eng as 2nd Lang Read/Write,25,17,MTuWTh,08:00AM,09:40AM,OL-03,"Figueroa,Katherine A"
1232,Active,ESL,  94RW,0801,Eng as 2nd Lang Read/Write,25,17,,,,OL-02,
1232,Active,ESL,  94RW,0900,Eng as 2nd Lang Read/Write,19,18,MWTh,09:00AM,11:45AM,MC-S724,"Morvay,Gabriella"
1232,Active,ESL,  94RW,1100,Eng as 2nd Lang Read/Write,25,24,MWTh,11:00AM,01:45PM,MC-N455,"Yancey,Ann J"
1232,Active,ESL,  94RW,1200,Eng as 2nd Lang Read/Write,19,18,MTuTh,12:00PM,02:45PM,MC-N487,"Figueroa,Katherine A"
1232,Cancelled,ESL,  95,0501,Intensive Writing,25,0,,,,,
1232,Cancelled,ESL,  95,0502,Intensive Writing,25,0,,,,,
1232,Cancelled,ESL,  95,1300,Intensive Writing,20,0,,,,,
1232,Active,ESL,  96,0800,Intensive Reading and Writing,25,17,MWTh,08:00AM,09:40AM,MU-M305,"Arvai,Laszlo"
1232,Active,ESL,  96,0901,Intensive Reading and Writing,20,13,M,09:00AM,11:45AM,MC-N783,"Finn,Heather Bobrow"
1232,Active,ESL,  96,0901,Intensive Reading and Writing,20,13,Th,09:00AM,11:45AM,MC-N490,
1232,Active,ESL,  96,0902,Intensive Reading and Writing,22,6,MTh,09:00AM,11:45AM,MC-S736,"Comeau-Kirschner,Cheryl"
1232,Active,ESL,  96,1000,Intensive Reading and Writing,25,13,MWTh,10:00AM,11:40AM,MU-M305,"Arvai,Laszlo"
1232,Active,ESL,  96,1001,Intensive Reading and Writing,25,23,MWTh,10:00AM,11:40AM,OL-03,"Wei,Yong"
1232,Active,ESL,  96,1100,Intensive Reading and Writing,25,19,TuTh,11:00AM,01:45PM,MU-M319,"Vorobel,Oksana"
1232,Active,ESL,  96,1101,Intensive Reading and Writing,23,10,Th,11:00AM,01:45PM,MC-N793,
1232,Active,ESL,  96,1101,Intensive Reading and Writing,23,10,Tu,11:00AM,01:45PM,MC-N794,"Beaumont,John"
1232,Active,ESL,  96,1200,Intensive Reading and Writing,19,12,M,12:00PM,01:40PM,MC-N786,"Wei,Yong"
1232,Active,ESL,  96,1200,Intensive Reading and Writing,19,12,Th,12:00PM,01:40PM,MC-N491,
1232,Active,ESL,  96,1200,Intensive Reading and Writing,19,12,W,12:00PM,01:40PM,MC-N487,
1232,Active,ESL,  96,1201,Intensive Reading and Writing,19,13,MTuTh,12:00PM,01:40PM,MC-N470,"Eder,Melissa J"
1232,Active,ESL,  96,1300,Intensive Reading and Writing,20,11,MTuTh,01:00PM,02:40PM,MC-N489,"Gokcora,Saniye D"
1232,Cancelled,ESL,  96,1600,Intensive Reading and Writing,23,0,,,,,
1232,Active,ESL,  96,1800,Intensive Reading and Writing,25,12,TuTh,06:30PM,08:15PM,OL-03,"Furlong,Richard"
1232,Active,ESL,  96,1800,Intensive Reading and Writing,25,12,,,,OL-02,
1232,Active,ESL,  96,1801,Intensive Reading and Writing,25,12,TuTh,06:30PM,08:15PM,OL-03,"Leibman,Allan J"
1232,Active,ESL,  96,1801,Intensive Reading and Writing,25,12,,,,OL-02,
1232,Active,ESL,  96,1802,Intensive Reading and Writing,25,15,TuTh,06:30PM,08:15PM,OL-03,"Roe,Vanessa HW"
1232,Active,ESL,  96,1802,Intensive Reading and Writing,25,15,,,,OL-02,
1232,Active,ESL,  96,1803,Intensive Reading and Writing,25,14,TuTh,06:30PM,08:15PM,OL-03,"Barnes,Ewa"
1232,Active,ESL,  96,1803,Intensive Reading and Writing,25,14,,,,OL-02,
1232,Active,LIN, 100,0500,Language And Culture,25,23,,,,OL-02,"Vorobel,Oksana"
1232,Active,LIN, 100,0501,Language And Culture,25,10,,,,OL-02,"Gokcora,Saniye D"
1232,Cancelled,LIN, 100,0502,Language And Culture,25,0,,,,,
1232,Cancelled,LIN, 100,0505,Language And Culture,25,0,,,,,
1232,Cancelled,LIN, 100,050W,Language And Culture,25,0,,,,,
1232,Cancelled,LIN, 100,0900,Language And Culture,25,0,,,,,
1232,Cancelled,LIN, 100,0901,Language And Culture,20,0,,,,,
1232,Cancelled,LIN, 100,1100,Language And Culture,25,0,,,,,
1232,Cancelled,LIN, 100,1600,Language And Culture,25,0,,,,,
1232,Cancelled,LIN, 100,161W,Language And Culture,20,0,,,,,
1232,Cancelled,LIN, 100,1700,Language And Culture,25,0,,,,,
1232,Active,LIN, 100,180W,Language And Culture,25,8,M,06:00PM,08:45PM,FH-203,"Voorhees,Terry"
1232,Cancelled,LIN, 100,5000,Language And Culture,25,0,,,,,
1232,Cancelled,LIN, 100.6,0900,Language & Culture for ESL 95,17,0,,,,,
1232,Active,LIN, 101,0500,Introduction to Linguistics,25,17,,,,OL-02,"Vorobel,Oksana"
1232,Active,LIN, 101,0501,Introduction to Linguistics,25,10,,,,OL-02,"Morvay,Gabriella"
